pl_name,hostname,disc_year,discoverymethod,sy_snum,sy_pnum,sy_mnum,pl_rade,pl_masse,pl_orbper,pl_orbsmax,pl_eqt,pl_insol,pl_dens,pl_orbeccen,pl_bmasse,st_spectype,st_teff,st_rad,st_mass,st_age,ra,dec,sy_dist
TOI-1470 b,TOI-1470,2023,Transit,1,2,0,2.18,7.32,2.527093,0.0285,734.0,46.3,3.86,0.3,7.32,M1.5 V,3709.0,0.469,0.471,1.3,10.0891431,61.2133868,51.9503
TOI-1470 c,TOI-1470,2023,Transit,1,2,0,2.47,7.24,18.08816,0.106,373.0,3.35,2.66,0.5,7.24,M1.5 V,3709.0,0.469,0.471,1.3,10.0891431,61.2133868,51.9503
TOI-157 b,TOI-157,2020,Transit,1,1,0,14.414774,375.0394,2.0845435,0.03138,1588.0,1062.0,0.686,0.0,375.0394,G9 IV,5404.0,1.167,0.948,12.82,73.7014398,-76.6806061,355.683
TOI-1685 b,TOI-1685,2021,Transit,1,1,0,1.468,3.03,0.66913924,0.01138,1062.0,236.0,5.3,0.0,3.03,M2.65 V,3575.0,0.4555,0.454,1.0,68.5939529,43.0370395,37.6153
TOI-169 b,TOI-169,2020,Transit,1,1,0,12.172974,251.40353,2.2554477,0.03524,1715.0,1443.0,0.76,0.0,251.40353,G1 V,5880.0,1.288,1.147,4.7,16.7786879,-75.1989452,407.84
TOI-1728 b,TOI-1728,2020,Transit,1,1,0,5.05,26.78,3.49151,0.0391,767.0,57.78,1.14,0.057,26.78,M0,3980.0,0.6243,0.646,7.1,120.6116787,64.7971531,60.798
TOI-1759 b,TOI-1759,2022,Transit,1,1,0,3.14,10.8,18.85019,0.1177,443.0,6.39,1.91,0.0,10.8,M0.0 V,4065.0,0.597,0.606,5.0,326.8516615,62.7538164,40.0654
TOI-181 b,TOI-181,2023,Transit,1,1,0,6.9559,46.1687,4.532,0.0539,895.1,102.43,0.7562,0.1543,46.1687,K,4994.0,0.745,0.822,5.4,352.1725409,-34.4914099,96.2338
TOI-1899 b,TOI-1899,2020,Transit,1,1,0,12.89035,209.7678,29.02,0.1587,362.0,2.9,0.54,0.118,209.7678,M0,3841.0,0.607,0.627,7.4,299.4268472,40.1433462,128.438
TOI-2010 b,TOI-2010,2023,Transit,1,1,0,11.81426566,408.7273314,141.834025,0.5516,400.2,4.09,1.36,0.212,408.7273314,F0,5929.0,1.079,1.112,1.9,292.1669417,53.4873694,109.19
TOI-2015 b,TOI-2015,2023,Transit,1,2,0,3.309,9.2,3.348237,0.029322,530.9,13.185,1.4,0.0789,9.2,M4 +/- 0.5,3297.0,0.3273,0.3041,5.5,232.1326528,27.361073,47.3444
TOI-2015 b,TOI-2015,2023,Transit,1,2,0,3.39,16.4,3.348968,0.0301,512.0,11.47,2.32,0.0,16.4,M4,3194.0,0.333,0.342,1.1,232.1326528,27.361073,47.3444
TOI-2134 b,TOI-2134,2023,Transit,1,2,0,2.69,9.13,9.2292005,0.078,666.0,32.0,2.607,0.06,9.13,K5 V,4580.0,0.709,0.744,3.8,271.9355015,39.0729269,22.6202
TOI-2134 c,TOI-2134,2023,Transit,1,2,0,7.27,41.89,95.5,0.371,306.0,1.4,0.599,0.67,41.89,K5 V,4580.0,0.709,0.744,3.8,271.9355015,39.0729269,22.6202
TOI-2136 b,TOI-2136,2022,Transit,1,1,0,2.19,6.37,7.851928,0.057,395.0,4.0,3.34,0.0,6.37,M4.5 V,3342.0,0.34,0.34,4.6,281.1763433,36.5631318,33.3631
TOI-2180 b,TOI-2180,2022,Transit,1,1,0,11.32107051,875.61726129,260.79,0.828,348.0,2.71,3.32,0.3683,875.61726129,G5,5695.0,1.636,1.111,8.1,277.94363,56.6506789,116.685
TOI-2196 b,TOI-2196,2022,Transit,1,1,0,3.51,26.0,1.1947268,0.02234,1860.0,2000.0,3.31,0.0,26.0,G V,5634.0,1.043,1.032,4.5,312.3400744,-70.4850723,259.947
TOI-238 b,TOI-238,2024,Transit,1,2,0,1.402,3.4,1.2730991,0.02118,1311.0,728.0,6.8,0.18,3.4,K2V,5059.0,0.733,0.79,4.3,349.2310814,-18.6066463,80.5407
TOI-238 c,TOI-238,2024,Radial Velocity,1,2,0,2.18,6.7,8.465651,0.0749,696.0,58.3,1.83,0.36,6.7,K2V,5059.0,0.733,0.79,4.3,349.2310814,-18.6066463,80.5407
